Usuario,Rating,Fecha,Descripcion,Local
Aylén López Ramírez,5 estrellas,Hace 3 meses,"Recomendado! Excelente calidad y la atención es muy buena, el equipo muy atento. Gracias Viviana por tu servicio, siempre haces que nuestra experiencia en el local sea genial!",Colón 1425
Sergio Javier Gudiño,5 estrellas,Hace un mes,Lo recomiendo muy ricos los helados,Colón 1425
Octavio Gómez,2 estrellas,Hace 3 meses,"Hoy modo desayuno, pedimos 1 de campo y otro clásico. No sirven manteca, sirven margarina y la verdad me arruinó la tostada.
Los helados excelentes como siempre.",Colón 1425
PATRICIA LUJÁN,5 estrellas,3 semanas atrás,Muy buena atención. El helado es muy rico.,Colón 1425
cholo5 g,5 estrellas,Hace 7 meses,"La mejor atención, precios razonables y deliciosos helados",Colón 1425
Belén Peralta,5 estrellas,Hace 4 meses,"El producto es muy bueno, siguen manteniendo promociones en la venta de cucuruchos para dos personas. El ambiente muy ruidoso, pero propio del lugar donde está ubicado.",Colón 1425
Marcos Pittuelli,4 estrellas,Hace 2 meses,Excelente atención.  Riquísimo helado,Colón 1425
SERGIO ROJAS,5 estrellas,Hace un mes,"Los productos, son excelentes, alguna demora en la atención, el lugar está muy bien ambientado, los precios, son acordes a la calidad del producto.",Colón 1425
Victoria de los ángeles,5 estrellas,Hace 3 meses,Excelente la atención!! Súper amables!! ❤️ Riquísimooo el café ☕💕 los criollos y la medialuna!! El ambiente súper agradable y cómodo!!…,Colón 1425
Vanesa Rodriguez,3 estrellas,Hace 8 meses,"El local muy lindo pero hace falta más personal. El cajero no puede estar dispensado cafés ni preparando los helados.
Se junta gente para atender y las mesas quedan sucias porque el personal es…",Colón 1425
mario florimonte,5 estrellas,Hace un año,"Lindo lugar, se destacan en la cordial atención y las copas heladas!!! 😋😋😋…",Colón 1425
Pancho Marchiaro,4 estrellas,Hace 5 años,Gran heladería de Córdoba con buena diversidad de gustos y un horario super amplio. Atención a las promociones para cuidar el bolsillo,Colón 1425
tamara arce,4 estrellas,Hace 5 meses,"Excelente helado, el más rico de córdoba lejoooss  y atención genial de todos sus empleados.
La merienda con criollos y dulce de leche es lo más",Colón 1425
Karina Sanchez,4 estrellas,2 semanas atrás,Muy lindo lugar y muy buena la atención,Colón 1425
Paul Tymoschuk,5 estrellas,Hace 6 meses,"Riquísimo el helado. Es mas caro que los de otras firmas más industriales, pero vale la pena.
Las copas heladas no valen la pena, son helado con alguna cosita mas nada más, y la que me tocó a mi encima era re chiquita!!",Colón 1425
Micaela Campos,5 estrellas,Hace un mes,"Excelente atención de las chicas, la chica de la caja luz muy buena vendedora!",Colón 1425
Carlos Villalba,5 estrellas,Hace un mes,Linda heladería con hermoso patio para disfrutar buenos sabores,Colón 1425
Claudia García,5 estrellas,Hace 10 meses,El lugar muy limpio y agradable y la atención excelente👌…,Colón 1425
german olguin,4 estrellas,Hace 3 meses,"Rico helado, pero desconforme porque me sacaron mí sabor preferido, Amarena!  Tiene que volver......",Colón 1425
Agustín Acho,5 estrellas,Hace 11 meses,"Muy rico los helados, tienen buenos precios para la calidad que manejan y excelente lugar para comerlos ahí mismo. Tiene un ambiente cerrado con aire o uno abierto al fondo, los dos son muy cómodos y la atención es excelente. Muy recomendable.",Colón 1425
Nicolas Parisi,5 estrellas,Hace 7 meses,"Excelente todo, rico helado y muy buen trato del chico que nos atendió haciendo recomendaciones y contando de sabores alternativos a los que habíamos planeado",Colón 1425
julieta arenas,5 estrellas,Hace 11 meses,"Más allá del helado , que es mi favorito, esta vez paso para destacar la atención de los empleados (turno noche) . La heladería siempre está con mucho movimiento y ellos saludan súper amablemente a cada cliente, son simpáticos ,…",Colón 1425
Mauricio Schmid,5 estrellas,Hace 11 meses,"Dejo la recomendación de Barilatte de la calle Colón: tienen una excelente atención, los chicos que atienden están sumamente dispuestos para asesorarte con los gustos y las promociones que tienen.…",Colón 1425
Maria Gabriela Garino,5 estrellas,Hace 7 meses,Muy ricos helados. Buena atención.,Colón 1425
Pedro Biasutti (PBIASU),5 estrellas,Hace 3 meses,Muy Recomendable Totalmente Renovado Excelente Atencion,Colón 1425
Patricia Herrera,3 estrellas,Hace 3 meses,Una lastima que no elaboren mas algunos sabores..,Colón 1425
Anailys Gonz,5 estrellas,Hace 3 años,Lindo lugar para compartir en familia o con amigos! 🍨…,Colón 1425
Ale Arce,5 estrellas,Hace 6 meses,"Excelente atención. Además de heladería, el café y las medialunas son muy buenos. Muy, muy buena atención",Colón 1425
katia vanesa Ruiz chavesta,5 estrellas,Hace 5 años,Muy buena atención y sobre todo muy delicioso los helados.😘…,Colón 1425
Oscar Labbruzzo,4 estrellas,Hace 4 meses,Muy buena la atención y los productos de muy buena calidad.,Colón 1425
Celeste Alcaraz,5 estrellas,Hace un año,"Excelente lugar en alberdi para tomar un helado 👌 Tiene un patio increíble, pura paz .. recomendable!…",Colón 1425
Laura Mercedes Prada,5 estrellas,Hace 2 años,Exquisitos todos los sabores y muy buena la atención. Realmente me pareció innecesario el cambio de imagen y nombre. No creo que atraiga más clientes.,Colón 1425
Gastón Mincoff,1 estrella,Hace 7 años,"Fui a la heladería Bariloche de la Av. Colón en la noche de los helados, donde en teoría el 1/4 estaba a mitad de precio. El 1/4 vale $115 y te lo dejan a $57,50, pero el 1/2 vale $120 (dado que si pagás 1/4 + 5 pesos te dan 1/2). La…",Colón 1425
Jose Luis Gilpin Nash,3 estrellas,Hace 5 días,"Todo bien, el precio y las promociones no están acorde al producto. Muy buena la atención de sus vendedores",Colón 1425
Silvana Gomez,4 estrellas,Hace 5 años,"Buena atención. Ricos helados 😊 postres. Sucursal calle Colón un patio bellisimo, plantas. Aceptan tarjetas de débito.
No es pet friendly 😔…",Colón 1425
Joaquín Valdez,5 estrellas,Hace 11 meses,Los helados son muy ricos. La atención de los empleados y la honda que le ponen es muy buena. Y el ambiente es limpio y lindo,Colón 1425
gonzalo mansilla,4 estrellas,Hace 9 meses,"estaba muy rico todo, pero el capuccino tenia un sabor raro, no sé si era por la leche pero no tenia mucho sabor a capuccino q digamos",Colón 1425
Ricardo Toledo,5 estrellas,Hace 7 meses,"Excelente atención!!! Muy amables todos, los helados espectaculares",Colón 1425
Matias Midiatta,3 estrellas,Hace 5 años,"En el patio de fundadores hace calor.  El personal hace mucho ruido molesto para conversar.
Limpieza ok…",Colón 1425
Sebastian Campos,4 estrellas,Hace 5 años,"Muy limpio, muy buena atención, muy buena calidad en helados y cafetería, recomendable.",Colón 1425
Nestor Marquez,3 estrellas,Hace un mes,Café quemadazo !!! Y eso que es cortado !! Ju ju,Colón 1425
daniel musicante,1 estrella,Hace 7 meses,"No permite ingresar a la heladería con mascota alzada, lo que es un contratiempo si se precisa hacer take out",Colón 1425
Ariel Peruglia,1 estrella,Hace 3 meses,No dan ticket y evaden iva,Colón 1425
Tirsa Sabalza,2 estrellas,Hace 6 meses,Fui por medio kilo y me vino el chocolate suizo y el tentación cristalizado :( para tener en cuenta,Colón 1425
Sebastian Virginio,5 estrellas,3 semanas atrás,"El helado es muy rico, con una excelente relación precio/calidad. Destacan las cremas y chocolates.",Colón 1425
Camila Farias,4 estrellas,Hace un año,"El lugar está bueno y los helados son ricos. El lugar tiene aire acondicionado adentro y también tiene un espacio de patio bonito.
Lo que si no me gustó fueron los baños, muy chiquitos y la verdad no estaban limpios(cabe destacar que yo fuí tarde al lugar, tipo 21hs).",Colón 1425
Rocío Anahí Araya,5 estrellas,Hace un año,Muy ricos helados y buena atención,Colón 1425
Ana Laura Iglesias,5 estrellas,Hace 2 años,"Heladería sencilla, al viejo estilo, tiene ese algo vintage de las heladerías de antes. Los empleados tienen oficio para servir helado, lo cual se agradece y son muy amables, atienden enseguida. Los helados son siempre exquisitos y súper…",Colón 1425
Alejandro Álvarez,5 estrellas,Hace 2 años,"Me gustó el sabor de sus helados.
Atención rápida y cordial.
Lugar limpio y ordenado.…",Colón 1425
Uñas Cba,1 estrella,Hace un año,"No colocan las cantidades que le pido casi nunca ... Mitad y mitad de dos sabores en un kilo, no es tan difícil... Que hagan como deseen quita todo lo bonito que te puedan saludar! ... Mala experiencia constante...",Colón 1425
Jorge Armando Falcon,4 estrellas,Hace 10 meses,"Mejoro la calidad de los gustos, las cerezas perfectas, el chocolate justo,  ni anargo ni dulzón, y el dulce de leche muy bueno",Colón 1425
Julio Rodriguez,5 estrellas,Hace 10 meses,"Excelente lugar para tomar un café, merendar y/o desayunar. Ricos helados.",Colón 1425
Lautaro Morero,3 estrellas,Hace un año,"Lamento decir que el que supo ser mi helado preferido, ha bajado mucho la calidad. Pasaron de tener el mejor dulce de leche de Córdoba a uno bastante austero y poco cremoso (pasa con todos los sabores)",Colón 1425
Miriam Neira,5 estrellas,Hace 2 años,"Helados de muy buena calidad. No importa el sabor que pida, siempre me parecen sabrosos y cremosos. Ahora tienen una salsa de sabor Nutella que es muy, muy rica. El lugar siempre está limpio y las personas que me han atendido, muy predispuestas.",Colón 1425
Roberto Molina,5 estrellas,Hace 3 años,"Muy buenos helados. Varias promos de 2x1. El precio es acorde a la calidad del helado. Tienen varias sucursales. Pero sobre todo, te atienden bien y muy amables siempre. Se nota como política de la empresa por eso prefiero comprar ahí, además que tiene helados ricos",Colón 1425
Silvina Pascual Mabres,5 estrellas,Hace 2 años,Heladería de años. La van modernizando a medida que pasa el tiempo. Los helados de excelente calidad y sabor. Al fondo del local un patio pequeño con muchas plantas. Hermoso local y muy buena atención.,Colón 1425
Ariana,3 estrellas,Hace 3 meses,"Tardan muchísimo, demasiado en cobrar y despachar.",Colón 1425
Leandro Berrier,4 estrellas,Hace 2 años,"El lugar está bien puesto. La atención es buena y los helados son ricos. Ahora ya cambiado de nombre y no se si continuará igual, pero lo único molesto es que todos los productos salen el doble, y hay un 2x1 permanente. Entonces hay que comprar 2kg por ejemplo, para que cada Kg salga comon1 Kg en otro lado. Todo así...",Colón 1425
Agustin Bustos,5 estrellas,Hace 2 meses,Excelente y rápida atención!,Colón 1425
Lorena Jauregui,5 estrellas,Hace 2 años,"La atención ágil y rápida, todo muy rico, precios accesibles y variados. Me encanta el local, todo limpio, es grande y tiene patio, siempre tiene lugar y nunca fila, así que no tengo que esperar. Podes consumir helado, postres, llevártelo, me gusta mucho, tendría que ir más seguido, además queda cerca de todos lados",Colón 1425
Greg Rios,5 estrellas,Hace 3 años,Un lugar muy agradable y acogedor para compartir.. buena atención y excelentes promos.,Colón 1425
Susana Crostelli,5 estrellas,Hace un año,"Hermoso local, muchos jóvenes impecables y con onda, para atenderte.
Sobre los helados, sino los conocés, andá yá, son exquisitos y con gran variedad de sabores, con mis hijas  hace años que los disfrutamos😋😋😋, también tienen cafetería en el mismo local.☕🍩…",Colón 1425
Tomás Cabaña,1 estrella,Hace un año,"Hace unos momentos fui con mi grupo de amigos a comprar su helado, bastante paupérrima la atención... pero ese no es el problema, mi queja para este local es que preguntamos acerca de qué agregados tenía el gusto ""chocolate bariloche"" y al…",Colón 1425
César Angel Howlin,5 estrellas,Hace 8 meses,Excelentes helados tradicionales y gran variedad de sabores.,Colón 1425
Mariel Cabral,4 estrellas,Hace un año,Uno de los helados más ricos de la ciudad !! Son caros pero vale la pena darse un gustito cada tanto.,Colón 1425
Mariano Di Rienzo (Sangabeli),5 estrellas,Hace 2 años,"El dulce de leche es el mejor de Córdoba, lástima la cara con la que te atienden los empleados",Colón 1425
Arquitectura International Consultant,2 estrellas,Hace 9 meses,"Caro y son los mismos helados que Glup jajaja 🤣🤣 los mismos fabricantes
PRECIOS CA RI SI MOS…",Colón 1425
silvia graciela freytes,5 estrellas,una semana atrás,Qué decir! Los mejores helados y la mejor atención!! Siempre amables y sonrientes todos los que trabajan ahí .,Colón 1425
Moni Lo,5 estrellas,Hace un año,El helado excelente!!!! Pero tienen que pone más empleados! Los chicos hacen lo que pueden....atienden a un montón de gente más los pedidos on line.....o sea.....no pueden todo!!!!!,Colón 1425
Norali Blunt,5 estrellas,Hace 5 años,"Cremas heladas riquísimas!!!! Una gran variedad de sabores, además de las opciones de postres y tortas heladas. Los precios son totalmente moderados, siempre con promociones en todas sus sucursales, las cuales siempre presentan cómodos espacios para poder saborear sus productos... Excelentes productos!!! Felicitaciones!!!",Colón 1425
Ali,4 estrellas,Hace un año,"Atención mejorada, buena calidad.",Colón 1425
Silvana Guardia,5 estrellas,Hace 2 años,"Excelente los helados se nota en los sabores, muy superior a otras marcas. Super en precio-calidad. Aunque tendrían que tener un horario de atención más amplio.",Colón 1425
Claudio Raul Valdez,5 estrellas,Hace 7 años,"Heladería que cuenta con espacio climatizado, un patio muy bien ambientado y sillas a la calle.
La calidad del helado es un 9 (9 de 10 puntos), tortas y postres muy bien…",Colón 1425
Luis Alberto Garay,3 estrellas,Hace 9 meses,Miy buena atencion.  Lugar muy comodo y acogedor.  Los precios un poco altos.,Colón 1425
Marcelo Caprari,5 estrellas,Hace 5 años,Muy buena atención y riquísimos helados. Precios más elevados que otras heladerías de la ciudad de Córdoba pero su calidad lo valen. Amplia variedad de sabores de helados y la promo 2x1 siempre es bienvenida.,Colón 1425
Salomé Landi,5 estrellas,Hace un año,"Excelente atención siempre.
Lo único para ""reclamar""es q no llegan hasta Barrio San Martin, pasadas las 20 hs creo. Y yo estoy en casa recién a las 21.30.",Colón 1425
Marisol Simonovich,5 estrellas,Hace un año,"Excelentes helados.
Muy atento el personal.
Recomendable",Colón 1425
Wanda Scola,5 estrellas,Hace 6 años,"Lugar cómodo y limpio, con posibilidad de consumir en el exterior ! Ofrecen otras opciones además de cremas heladas, como café y acompañamientos.
Precios no tan accesibles, pero hay días en que abonando medio kilo de helado te llevas un kilo, entre otras promociones.
Atención aceptable.",Colón 1425
Silvina Emiliani,5 estrellas,Hace 3 meses,Muy linda la renovación del local,Colón 1425
Maria Eugenia Barontini,5 estrellas,Hace 3 años,"Si hubieran 5 estrellas más, las agregaría! Súper logrados los sabores !",Colón 1425
Gisella Guadalupe Patriarca,5 estrellas,Hace 3 años,"Hermoso jardín de invierno, la mesas bien distanciadas, todos los empleados con el cubrebocas bien puesto. Precios accesibles, pero más caros que la mayoría de las heladerías. Los helados ricos pero nada de otro mundo, buena relación precio producto",Colón 1425
Milicia Dico,4 estrellas,Hace 2 años,"Son los mejores helados..para mi...cuando fui me atendio una chica ...malisimo...muy mal trato al cliente por parte de la chica en el turnonde la noche,creo q estaba como adiestrando a otro chico cuando fui...el lugar tiene dos areas..una calentita y otra atras,un patio interno",Colón 1425
Andrea Tubello,5 estrellas,Hace 3 años,"Excelentes helados de los mejores que probé, muy buena atención, local amplio y limpio, baños y sector de patio
Me pareció excelente todo por eso le doy 5 estrellas",Colón 1425
Jeremías Grúa,5 estrellas,Hace un año,"Ofrece un gran variedad de gustos y sabores, tiene cafetería y postres helados. Sus cremas heladas son riquísimas. Siempre los elegimos.",Colón 1425
Silvio Zuñiga,5 estrellas,Hace un año,Un paso obligado por unos helados riquísimos.Excelente la higiene del lugar. Muy pocas heladerías con ese standar. Buena atención y un lugar agradable.Los helados espectaculares!!,Colón 1425
Ludmila Paez,1 estrella,Hace 2 años,"30m para hacer un pinito, pedí que me cambien el pedido para no seguir esperando no quisieron...
Además pedí un helado de una bocha para mí hijo el cual apenas me lo dieron se…",Colón 1425
sory sanchez,5 estrellas,Hace un año,"Perfecta atención, muy limpio y cómodo. Excelente la calidad y los sabores de los helados.",Colón 1425
Liliana Beatriz Lucero Alejos,4 estrellas,Hace 3 años,"Muy bien la higiene y la atención, una delicia sus helados",Colón 1425
"CERUTTI, Antonella",4 estrellas,Hace un año,"Uno de los mejores helados de Córdoba, el dulce de leche con nuez es otro nivel",Colón 1425
Andrés Federico Gordillo,4 estrellas,Hace 2 años,Uno de los helados más ricos y una amable atención por el personal. Los recomiendo!!,Colón 1425
Lucas Cardozo,5 estrellas,Hace 9 meses,"Excelente lugar para merendar, tomar café y pasar la tarde.",Colón 1425
Ali Martin Flores de Bach,5 estrellas,Hace 2 años,"Excelente atención y predisposición de los empleados para dar a probar los gustos nuevos. Lugar cómodo, agradable, limpio.
Buena relación calidad- precio de los productos.",Colón 1425
Gladys Basualdo,4 estrellas,Hace 2 años,"Anoche compré estos helados, MUY RICOS! Una verdadera crema! Los precios son razonables y había promos! Me atendieron muy bien, correctos y simpáticos los empleados de sucursal Maipú.",Colón 1425
Romina Morales,5 estrellas,Hace 8 años,Los mejores helados de la zona!! Es cierto que son caros comparados con el resto pero valen la pena cada centavo. El lugar esta bien limpio y la atención es buena. Cuenta con un patio interno muy lindo.,Colón 1425
Silvia Amadei,5 estrellas,Hace 10 meses,"Fui a la Bariloche de Colon al 1400 aprox. Excelente atención de los chicos, súper amables y rápidos para atender... me encanto el lugar y la atención un 10.",Colón 1425
mariana oliva,5 estrellas,Hace un año,"Excelente atención en línea de caja y los chicos en el preparado, incluso te ofrecen degustar los nuevos sabores que debo decir una maravilla!!!!!",Colón 1425
miguel cortijo,1 estrella,Hace 2 años,"Soy cliente y es la segunda vez que tengo que esperar 45 minutos para comprar un helado , señores de Bariloche estamos en verano ya con 40 grados cómo van a poner una dos empleados a la noche una cajera y uno atendiendo , había 15 clientes…",Colón 1425
Braian Sabina,5 estrellas,Hace 3 años,"De las mejores heladerías, helados con un sabor único y muy rico, la copa Bariloche de mis favoritas. Precios caros pero es acorde a la calidad vale la pena, destaco que el personal es amable y tienen muy buena presentación",Colón 1425
Sergio Moya,4 estrellas,Hace un año,Muy bien el lugar. Productos de muy buena calidad. Casi nada de tortas heladas o postres.,Colón 1425
Sil Reynacba,5 estrellas,Hace un año,"Aaaaaa exquisitos,buen precios y gigantesssss el tamaño d cucuruchos. Muy buen precios en tortas heladas super ricas. Muy buena atención. Gracias!!!!",Colón 1425
Fernando Triveri,4 estrellas,Hace 6 años,Los helados son muy ricos y te atienden muy bien. Verdadera calidad artesanal. Los precios son algo elevados pero se justifican por la calidad y el servicio. Es complicado para ir en auto por la escasez de estacionamiento permitido en los alrededores.,Colón 1425
valeria lencinas,4 estrellas,Hace 5 años,"Excelente helado, la atención a veces es media baja, y más cuando el personal se encuentra saturado por la cantidad de gente en el local. Pero en si el producto que brindan es excelente.",Colón 1425
Narciso Tutujian,4 estrellas,Hace 2 años,"Cadena de Heladerías de producción local, variedad de gustos, buena calidad, sabor y precios moderados. Hay promociones y combos. No hay estacionamiento,  esta ubicado sobre una avenida principal con paradas de buses",Colón 1425
Romina Amado,3 estrellas,Hace 2 años,"Siempre compro acá porque los helados son muy ricos, aunque son mas caros que en cualquier otra heladeria. Una pena que las últimas dos veces que vine sirven cada vez menos helado, las bochas son muy pequeñas.",Colón 1425
juanmanu196,5 estrellas,Hace 4 años,Excelente atencion uno de los helados más ricos que he comido,Colón 1425
Laura Rego,2 estrellas,Hace 5 años,Califico con 2 estrellas porque mi experiencia no ha sido feliz. No puede ser que en 1/4kg solo permitan poner dos gustos y en 1/2 k solo 3 gustos. Claro.. Depende de quien sirva... Porque la chica que nos sirvió el helado y la que estaba…,Colón 1425
Charly Castiella,5 estrellas,Hace 2 años,Excelente atención y muy ricos helados !!!,Colón 1425
Viviana Gonzalez,4 estrellas,3 semanas atrás,Excelente atención,Colón 1425
Cristian Navarro,5 estrellas,Hace 7 años,"Muy bueno los helados, calidad y variedad, los precios no son tan baratos pero vale la pena probarlos. Al fondo el local cuenta con un patio luz muy ameno con fuente incluida.",Colón 1425
ceci lopez,5 estrellas,Hace 9 meses,He ido varias veces y siempre es buena la atención y la calidad del producto!,Colón 1425
Estefania Muller,5 estrellas,Hace 6 años,"Muy buenos helados, excelente atención. El local cuenta con espacios internos y externos para poder tomar los helados, impecable limpieza. Cuentan con promociones 2x1 muy convenientes.También tienen delivery.",Colón 1425
Daniel Gonzalez,4 estrellas,Hace 6 años,"Muy buenos helados, muy gustosos porque usan buenas materias primas,  los precios están acordes con la calidad, de las cadenas de heladerías de Córdoba es de la mejores. También tiene una MUY buena cantidad de gustos e incluso preparan unas copas heladas muy ricas.",Colón 1425
Juan pablo Gonzalez,4 estrellas,Hace 8 meses,"Atención media! Demorados y mala atención en caja.
Productos muy buenos",Colón 1425
Elias Murua,4 estrellas,Hace 4 años,Exelentes helados y muchos sabores para elegir! Obviamente el precio es acorde a la calidad.... pero para comprar y darse un gusto esta muy bien.,Colón 1425
Eliana Olea,5 estrellas,Hace 2 años,Como siempre impecable el lugar y la atencion.. son helados riquisimos con variedad de sabores y cuenta con algunas promos..,Colón 1425
diego,5 estrellas,Hace 6 años,como siempre excelentes sabores y el lugar cómodo para tomar el helado y charlar tranquilamente... y lo mejor es la promo 2x1 en varios productos...! y la calidad del producto al igual que la atención no cambian en ninguna sucursal..... excelente más que perfecto.... lo recomiendo siempre,Colón 1425
Scot Electronica (Scot electronica),5 estrellas,Hace 2 años,Las cremas heladas son excelentes suaves y sabor equilibrado. .  Nada que ver con las otras marcas de helados que pululan en los Barrios.,Colón 1425
Alejandra Vaca,5 estrellas,Hace 2 años,Excelente atención y los helados súper recomendable 🤩…,Colón 1425
Sergio Luis Romeo,2 estrellas,Hace 10 meses,"El Helado Riquísimo
La Cafetera No Funcionaba, cené en un lugar y fuimos para el postre
Buena atención y servicio",Colón 1425
Siempre Digital Partner,5 estrellas,Hace un año,"Riquísimos helados, súper buena atención y trato del personal",Colón 1425
Georch Cordoba,4 estrellas,Hace 5 años,"Muy buena atención, gran variedad de sabores y excelente calidad de sus helados. En el rango precios en relación a la competencia, cotiza sus productos levemente por sobre el promedio.",Colón 1425
MARIELA B,4 estrellas,Hace 2 años,"Lindo lugar, tranquilo, limpio, muy buena atención. Muy ricos helados y de buena calidad, buenos sabores, exclusivos. Precio elevado",Colón 1425
angelica thais,3 estrellas,Hace 5 años,"Muy buena heladería, mientras tanto los precios muy altos. Te hacen comprar 2x1 como promo, pero la verdad es que la porción individual está re cara. El sabor de Dulce de leche con Brownie es riquísimo.",Colón 1425
Raquel Angelelli,4 estrellas,Hace 6 años,"Dentro de las cadenas de heladerias de Córdoba, es una de las mejores. Variedad de sabores y buena calidad. Los precios son algo caros pero siempre tienen promociones disponibles. Lo que no recomiendo es el delivery, el envío es caro y te piden una compra mínima bastante elevada",Colón 1425
cano leonel,1 estrella,Hace un año,"Fui hoy 23:20hs me atendieron dos mujeres.
Primero muy mala atencion, segundo te apuran para comprar.. siendo que no habia gente...…",Colón 1425
Federicoo Aguirre,1 estrella,Hace 2 años,"Malisimo, un flaquito atiende re mal, apenas le decis hola te apura para que le digas que sabores siendo que no hay gente haciendo fila ni nada. Se le caen las bochas por apurado, un desastre. 21hs",Colón 1425
carolina de napoli,3 estrellas,Hace 5 años,"Me encantan estos helados, para  mí los mejores, pero ayer me lleve la sorpresa de como han bajado la cantidad x porción, y subido los precios. Antes con una bocha estaba bárbaro y el de 2 era muchísimo...hoy te quedas con sabor a poco",Colón 1425
Candela Martínez Catan,4 estrellas,Hace 7 años,"Excelente calidad de helados. Los precios, bastante elevados pero tienen buenas ofertas para aprovechar. Esta sucursal cuenta con patio exterior. Recomendable.",Colón 1425
Natalia A,5 estrellas,Hace 5 años,Muy buena la atención y los helados deliciosos.,Colón 1425
Yamil Ignacio Bertero (Nacho),4 estrellas,Hace un año,"Buena atención, helados: ricos pero quizá por el mismo precio hay mejores",Colón 1425
German Cara,4 estrellas,Hace 6 años,"Muy buena calidad de helado, las promociones mantienen precios acordes pero los postres, por ejemplo el almendrado, son caros. Buena atención y buen entorno que invita a disfrutar un buen .o entonces saboreando el helado",Colón 1425
Emi Acosta,5 estrellas,Hace 5 años,"Solo fui a buscar helado para llevar.
El personal es rápido para atender y con buen trato al mismo tiempo. Me gustó que en solo unos minutos salí con el helado",Colón 1425
Pablo Lever,3 estrellas,Hace un año,"Muy feos los sabores y la calidad bajo mucho, en el patio trasero muy malos olores debido a los sanitarios",Colón 1425
Brenda Diaz Navarro,1 estrella,Hace 7 años,Es una MENTIRA lo del 2x1. Sale igual q cualquier helado rico. Si quieres agregar 3 hilos de salsa a tus bochas de helado te cobran $5 y no lo ves en el cartel de precios.,Colón 1425
Adolfo Azulay,4 estrellas,Hace un año,"Buena calidad mucho calor al fondo no tienen ni aire acondicionado ni un ventilador, callé Colón al 1400.",Colón 1425
javier carballeira parra,1 estrella,Hace 2 años,"Buena heladería..y buena atención..eso puse hace varios años, desde hace una década llevo viniendo periódicamente a este lugar por la atención y la calidad de los productos, hoy realmente nos trataron francamente mal, nos discriminaron al…",Colón 1425
Luis Ibañez,5 estrellas,Hace 7 años,"Muy lindo lugar, lindo ambiente exterior. Atención aceptable y calidad muy buena de helados, aunque hay que pagar lo correspondiente por ello, obviamente.",Colón 1425
Sebastian Campos,3 estrellas,Hace 7 años,Buenos helados. Muy buena atencion del personal. A mi parecer tiene una promo medio confusa porque te hacen creer que llevas 2 x 1.. pero en realidad pagas el kilo de helado a precio regular.,Colón 1425
Giuliana Buono,2 estrellas,Hace 2 años,Helado rico. Precio bien. Pero la limpieza de los baños SIEMPRE que voy deja mucho que decir.,Colón 1425
Priscila Brondo,5 estrellas,Hace 11 meses,Acabamos  de estar ahí (16:30hs) excelente atención la del chico que nos atendió,Colón 1425
Mariana PC,5 estrellas,Hace 2 años,"Riiico rico helado y hermosa atención,  el patio es muy cálido también,  me encanta!!",Colón 1425
Daniel Bauer,3 estrellas,Hace 5 años,"Tienen excelente helado, especialmente el sabor ""kricoreo"", pero cada vez que pides dos sabores te dan 3/4 de un sabor y 1/4 del otro, pasa siempre.",Colón 1425
Shumii Viajes,5 estrellas,Hace un año,"Los helados son de excelente calidad, siempre que tengo ganas de comer helado voy a bariloches, mantienen la calidad siempre. Mas que recomendable 💕…",Colón 1425
Angel Monte Di Gianni,3 estrellas,Hace un año,Rrrrriquisimo. Los mejores helados de Córdoba. Eso si. No hay servicio a mesa.,Colón 1425
Lau Spadoni,5 estrellas,Hace un año,La mejor atención y el jardín de invierno patuo trasero MONUMENTAL!! para leer desayunar escuchar musica o trabajar mientras tomas un cortado ricazoo!! Sigan así 😃…,Colón 1425
Vero Arroyo,5 estrellas,Hace 2 años,"Ricas cremas heladas excelente atención y buena cafetería,hay promociones x peso de cremas heladas, precios acordes a los productos ofrecidos",Colón 1425
Rosa Andrea Bedoya (Rosii),5 estrellas,Hace 2 años,"La atención de la sucursal de colon me sorprende lo bien que te reciben los empleados, el helado muy rico, volvería siempre ❤️🤗…",Colón 1425
Leandro muñoz,5 estrellas,Hace 7 años,"A mi consideración los helados de mayor calidad en la ciudad,  realmente son de gustos variados y con alta cantidad de crema,  el local de colon dispone de un patio con fuente de agua y jardín vertical que lo hacen ideal para pasar un…",Colón 1425
Guillermo Alvarez Igarzabal,5 estrellas,Hace 10 meses,Sin dudas los mejores helados !!! No los cambio por ninguno,Colón 1425
CMR.,3 estrellas,Hace un año,"Lo único ""malo"" es el precio, es rico pero no vale la pena gastar tanto",Colón 1425
A Ballester Roberto Juan,5 estrellas,Hace 5 años,Muy bueno todos sus productos helado,Colón 1425
ROMINA BELEN ALOCCO,5 estrellas,Hace 7 años,"Excelente las cremas heladas de este lugar, una de las mejores de cordoba ! El lugar es muy agradable , tiene espacio cerrado y espacio disponible al aire libre ! Precios accesibles y siempre tienen promo!",Colón 1425
Juli Leones,5 estrellas,Hace 3 años,"Los helados como siempre, sin palabras. Bajo mi criterio, los mejores de Córdoba! La atención en ese local, siempre excelente.",Colón 1425
Gustavo Lauro,4 estrellas,Hace 2 años,Excelente helados  muy buen acalidad y atencion.,Colón 1425
Dr. Alejandro Centeno (Grupo G.AUs),3 estrellas,Hace 10 meses,Bajo mucho la calidad de los helados y demasiado caros,Colón 1425
anaaa,5 estrellas,Hace 2 años,Riquísimos. Hermoso lugar. El precio vale por el producto y el lugar tan acogedor.,Colón 1425
Andrés Uzcátegui Bracho,5 estrellas,Hace 2 años,Muy lindo sitio y ricos helados,Colón 1425
