Usuario,Rating,Fecha,Descripcion,Local
nora armesto,5 estrellas,Hace 9 meses,Hermoso lugar para disfrutar de los más ricos helados en córdoba!!!,Emilio Lamarca 3683
Enzo Glaudo,5 estrellas,Hace un año,Hermosa atención y helados deliciosos.,Emilio Lamarca 3683
Mauricio Lima,5 estrellas,Hace un año,Muy buena atención y su helado es fabuloso,Emilio Lamarca 3683
Joaquin Baigorria,5 estrellas,Hace 2 años,"Fuimos a probar el famoso pinito, increíble, mucho chocolate. El lugar esta impecable, amplio y super bien atendido. excelente calidad el helado",Emilio Lamarca 3683
Eugenia Rabellino,4 estrellas,Hace un año,"Muy lindo lugar, helados ricos",Emilio Lamarca 3683
santiago loza,5 estrellas,Hace 2 años,Hermoso lugar!!! Excelente la calidad de atención. Se nota que la marca trabaja en estandarizar procesos y en la experiencia del cliente. Uno de los mejores helados de Córdoba.,Emilio Lamarca 3683
Leandro Ameijeiras Coach,1 estrella,Hace 2 años,"Atención bastante rápida la representante mientras me atendió  atendía al de pedidos ya y respondía a su compañero, no hizo contacto conmigo para  nada me despacho el servicio de atención  al cliente es malisimo, o les pagan mal o están disconformes con su puesto de trabajo.... prepárate para q te despachen  y te atiendan mal",Emilio Lamarca 3683
Jimena Navarro,5 estrellas,Hace 2 años,"Helados super ricos! Muy lindo el lugar, la remodelacion les quedó super bien, muy hermoso todo! Estéticamente es bello, capaz antes tenían asientos que eran un poco más funcionales que los de ahora, pero todo bien! Los cambios están buenos! Así que super recomendableeee",Emilio Lamarca 3683
Alejandro Oscar Molina,5 estrellas,Hace 4 años,Muy buena atención d parte de los chicos,Emilio Lamarca 3683
Cecilia Fernandez,5 estrellas,Hace un año,"Mi helado preferido en córdoba, pero estaba muy muy frío el aire acondicionado. Merendamos allí y nos hizo mal tan frío el ambiente.",Emilio Lamarca 3683
Walter Dente,4 estrellas,Hace un año,Muy buen helado y variedad de sabores. También recomiendo su clásica promo 2x1.,Emilio Lamarca 3683
JERONIMO AVELLANEDA,5 estrellas,Hace 11 meses,"Solo usé la cafetería, todo perfecto, algo que llamó la atención fue la limpieza de los baños, bien barilatte, volveré.",Emilio Lamarca 3683
Federico Aguirre,5 estrellas,Hace 3 años,Lejos Lejos el mejor helado de la zona y por afano. Cuando probé la competencia perdí mi plata. Helado hecho con crema en serio. El Dulce de Leche tentación y el Chocolate Suizo son un SI O SI! Lo recomiendo 100%,Emilio Lamarca 3683
Ariel Palmero,4 estrellas,Hace 2 años,"Muy bueno, serían 5 star ... le quito una porque me dijeron que no tenían ni tendrían en esa sucursal, a futuro, crema almendrada ... la que tenían cuando era Bariloche, con almendra caramelizada, tan buena como la de Tello en Yerba Buena!",Emilio Lamarca 3683
Rocio Duarte,5 estrellas,Hace 2 años,"Muy rico helado. El precio normal, no es de los más económico más bien de los más caros pero la calidad del helado hace que valga la pena.no probé ningún sabor atípico. Pero dulce de leche, chocolate, duranzo, frutilla, son muy ricos. Dentro de las heladerías de Cordoba creo que es una de las mejorcitas",Emilio Lamarca 3683
laura acosta,5 estrellas,Hace 11 meses,"Me encantó el helado🍨 y el servicio 🫶, el ambiente es muy natural ❤️🌺…",Emilio Lamarca 3683
Graciela del Carmen Mure,5 estrellas,Hace 2 meses,Excelente calidad y atención!!!,Emilio Lamarca 3683
Martin Giudice,5 estrellas,Hace un año,Un lugar muy ameno para sentarse a tomar un Helado único o las otras delicatessen que ofrecen.,Emilio Lamarca 3683
Renata Bognanni Leiva,5 estrellas,Hace un año,"Amo sus helados, este local es hermoso, con un patiecito para comer afuera. Siempre hay lugar para estacionar",Emilio Lamarca 3683
Rocio sole mio,1 estrella,Hace 2 años,"Excelentes cremas , local e instalaciones
Lastima un error gravísimo no poseen baño en planta baja o los empleados dicen haber extraviado la llave .…",Emilio Lamarca 3683
neni sosa,3 estrellas,Hace un año,"El lugar es amplio y los chicos pueden entretenerse en el patio que tienen, son un poco lerdos en atender y el aire acondicionado estaba demasiado frio lo cual te obliga a consumir fuera del local",Emilio Lamarca 3683
Christian Ciliberti,5 estrellas,Hace un año,El lugar era muy lindo y nos atendieron rápidamente y el helado era rico.,Emilio Lamarca 3683
Javier Manzano,4 estrellas,Hace 5 años,"Muy buenos productos, los helados son muy cremoso y hay mucha variedad de gustos. El estilo del local es muy agradable y la atención es rápida hasta cuando hay mucha gente. Es un local muy concurrido. Falta un poco de limpieza en las mesas, pero la atención es excelente",Emilio Lamarca 3683
victoria andrada,5 estrellas,Hace 5 años,"Porque esta abierto hasta tarde , muy buena atención  y el helado una delicia",Emilio Lamarca 3683
Carlos Martin Tulian (Tincho),4 estrellas,Hace 4 años,"Muy ricos helados, de los mejores de Córdoba. Son un poquito caros, pero valen la pena. Está sucursal en particular es muy limpia y la más nueva de la zona. Y los empleados siempre son muy atentos y educados",Emilio Lamarca 3683
Acatoy Andres,4 estrellas,Hace 7 años,Helados muy ricos y sabrosos. Precios un poco caros pero la calidad lo vale. Muy recomendable. El lugar invita a quedarse y disfrutar de las instalaciones. Al aire libre o en el interior. Complicado para  estacionar por la avenida muy…,Emilio Lamarca 3683
Leonardo Enrique Orzan,5 estrellas,Hace un mes,Excelente helado calidad supera ampliamente precio calidad,Emilio Lamarca 3683
Daniel Ramallo,5 estrellas,Hace un año,"Hermoso lugar con muy buena atención, la calidad de sus helados es excelente 👌…",Emilio Lamarca 3683
Adri2110k,2 estrellas,Hace un año,"Que pena ... la calidad de los helados deja mucho que desear, solo son saborizados y con colorante, cero fruta, escasa variedad de sabores, perteneciendo a la misma empresa, en Bariloche tienen muchos más sabores para elegir. No volveré",Emilio Lamarca 3683
Rodolfo Jabase,5 estrellas,Hace 2 años,La mejor marca de helados de Córdoba. fuimos a disfrutar en familia. esta sucursal de Heladería Bariloche esta muy bien ubicada. en una esquina de Barrio URCA. muy tranquila. poco tránsito. ideal para sentarse a degustar un rico postre. no…,Emilio Lamarca 3683
Cristian Herrera,4 estrellas,Hace 10 meses,"Excelente ambiente.
Buena atención
Precios bien",Emilio Lamarca 3683
Florencia Demaria,5 estrellas,Hace un mes,Los mejores helados,Emilio Lamarca 3683
Eleonora remes,5 estrellas,Hace 3 años,"Excelente helado...muy buena atención. Café rico bien tirado. Es chico, se llena muy rápido el lugar, pero vale la pena",Emilio Lamarca 3683
Christian Ferreyra,4 estrellas,Hace 8 meses,Excelentes las meriendas. Los helados muy buenos y precios accesibles.,Emilio Lamarca 3683
Diego,5 estrellas,Hace 8 meses,"Excelente producto. Aunque no es el más barato, pero vale la pena el gasto.",Emilio Lamarca 3683
Telma Sanchez,5 estrellas,Hace un año,Excelentes helados con variedad de gustos y precio accesible de acuerdo a su calidad.,Emilio Lamarca 3683
Diego Cabrera Fotografia,5 estrellas,Hace 6 años,"Buena atención, los helados te lo sirven grande no mezquinan nada, voy seguido y jamás he tenido un problema. Siempre comprando diferentes helados, también llevando el kilo, y la verdad no tengo nada malo para decir, siempre esta limpio, ordenado. Los precios siempre están acorde con la porción y por la calidad. No cambien sigan hací.",Emilio Lamarca 3683
Agustin Barbero,4 estrellas,Hace 2 años,Los helados excelentes como siempre. La chica que me atendió hoy domingo 8 de mayo durante el turno de la noche; le tuve que pedir que me agregara la salsa y la oblea de cucurucho ya que se olvidó o lo paso por alto,Emilio Lamarca 3683
Silvina JUAREZ,4 estrellas,Hace 2 años,"Riquisimo todo, muy buena atención y a precios super convenientes!!! La única crítica que puedo hacer es que en las meriendas los panificados están fríos, deberían tener forma de calentarlos un toque para que queden perfectos.",Emilio Lamarca 3683
Nicolás Bertola,4 estrellas,Hace 10 meses,"La calidad de siempre de Bariloche, con nuevo nombre. Atienden amablemente e invitan a probar nuevos sabores.",Emilio Lamarca 3683
fabiana zilkousky,5 estrellas,Hace 8 meses,Riquísimos helados...y el lugar muy cálido!!,Emilio Lamarca 3683
Alejandro Ocampo,4 estrellas,Hace 3 años,"Ricos helados, buena atención y un lindo deck con sillones para sentarse. La zona es tranquila, vamos siempre, muy recomendable. También tienen algo de cafetería.",Emilio Lamarca 3683
Silvina,1 estrella,Hace 5 años,Fui está tarde en familia y la verdad que resultaba imposible estar ahí adentro con el tufo y el  olor que hacía debido a la cantidad de gente y que no fueron capaz de prender el aire acondicionado. Vergonzo que con lo que cobran un helado…,Emilio Lamarca 3683
Carolina Bulacios,5 estrellas,Hace 4 años,"Además de que los helados son de lo mejor que hay en Córdoba, el lugar es muy agradable, limpio, ordenado, cuenta con un jardín muy prolijo con sillones muy cómodos. Las mesas de encuentran prudentemente distanciadas y se cumplen los protocolos establecidos.",Emilio Lamarca 3683
Diego Gorla,5 estrellas,Hace 7 años,"El lugar es agradable con mucho espacio y bien cuidado. La calidad del producto es excelente, al igual que la atención. Deberían evitar el uso de promociones 2x1 ya que es mejor tratar al cliente con buenos precios. El delivery también cumple con lo prometido.",Emilio Lamarca 3683
Sofi Rodriguez,5 estrellas,Hace 3 años,Excelente atención por parte del personal 😃…,Emilio Lamarca 3683
Rolando Artunduaga,5 estrellas,Hace 5 años,"Uno de los mejores helados de Córdoba,  en cuanto a relación precio - calidad.
Rápida atencion y variedad en sabores en donde se puede notar la calidad de las frutas e insumos para su fabricación.",Emilio Lamarca 3683
Milagro Graziano,5 estrellas,Hace 6 meses,"Son excelentes, el personal súper amable!!",Emilio Lamarca 3683
Romina Martin,5 estrellas,Hace 2 años,"Muy lindo lugar, con espacios amplios para sentarse tanto dentro del local, como  al aire libre. Se puede estacionar en la calle sin dificultad.",Emilio Lamarca 3683
Enrique Lobos,5 estrellas,Hace un año,Hermoso lugar para ir en familia a soborear un buen helado,Emilio Lamarca 3683
Gustavo,5 estrellas,Hace un año,Muy ricos helados y buena relación costo beneficio.,Emilio Lamarca 3683
Natalia del Valle Rivero,5 estrellas,Hace un año,El helado exquisito y la atención muy cordial y amable,Emilio Lamarca 3683
Nina Lima Martinelli,4 estrellas,Hace 2 años,Excelente lugar y los helados riquísimos. No le pongo cinco estrellas porque los baños estaba por escaleras y fuimos con una persona mayor por lo que se complica.,Emilio Lamarca 3683
Yessica,5 estrellas,Hace 2 años,Super exquisito todo!!!,Emilio Lamarca 3683
fernandez asociados,5 estrellas,Hace un año,"Muy lindo lugar y los helados con la calidad de siempre,  muy buenos",Emilio Lamarca 3683
Flavia Gisel Vega,5 estrellas,Hace 6 años,Muy ricos los helados! La cafetería muy buen precio. Café con leche con 3 medialunas o 3 criollos más mermelada o dulce de leche y un vaso pequeño de jugo de naranja a $60 (20/04/2018). Lugar impecable! Muy buena la  atención!,Emilio Lamarca 3683
Martin Tutor,3 estrellas,Hace 2 años,"Muy rico helado, tan rico como su precio MUY CARO!! MALAS LAS PROMOCIONES PARECE UN CHISTE!! también poca variedad de sabores",Emilio Lamarca 3683
Ariel Michelini,4 estrellas,Hace 5 años,El helado increíble. Ahora: hasta cuándo le van a permitir seguir con la mentira del dos por uno ... El kg de helado $1.000 pesos para que llevando dos kg te queden a $500 cada kg .. que es el precio del kg de helado en calidades similares…,Emilio Lamarca 3683
Lautaro Lavarello,4 estrellas,Hace 5 años,"Los mejores helados de Córdoba! Las bochas de helados son abundantes. Confunde mucho cuando comprás por kilo, porque si es final te cobran otro valor. Sería más fácil poner un solo precio para no confundir al cliente.",Emilio Lamarca 3683
Gonzalo Martín Ré,5 estrellas,Hace 5 años,"De los mejores helados de Córdoba. Pregunté porque no tenía crema del cielo y la vendedora me dijo ""eso es helado de crema con colorante"" y nosotros no usamos colorantes. Excelente productos y cultura organizacional!!!",Emilio Lamarca 3683
Ramiro Battezzati,3 estrellas,Hace 5 años,El helado muuuy rico. Si bien la gran mayoría de las veces me han atendido muy bien justamente hoy como que tuve la sensación de poca amabilidad. Supongamos que haya sido cansancio de los chicos que atendían.,Emilio Lamarca 3683
Maggy triny,4 estrellas,Hace 8 años,"El lugar es muy tranquilo y seguro siempre tienen todos los sabores, es perfecto para pasar por un heladito a la siesta pero mas tarde mas llegando a la noche practicamente no se puede estar en ese lugar por toda la gente q hay. Y el precio es elevado para algunos pero sin duda lo vale",Emilio Lamarca 3683
Damian Alonso,2 estrellas,Hace un año,Mala atención y muy poca variedad un sábado a la tarde no puede ser q no tengan medialunas nada q ver cuando era Bariloche,Emilio Lamarca 3683
Luis Moyano,4 estrellas,Hace un año,"Excelente atención, muy rico café y helado ,recomendable !!",Emilio Lamarca 3683
Eugenia Barrios,4 estrellas,Hace 2 años,Quedó hermoso el lugar... Cómodo para disfrutar de charlas y del helado que es tan rico como siempre!!!,Emilio Lamarca 3683
Alvaro Espeche De Luque,4 estrellas,Hace 4 años,"Buenas! La atención es muy buena y ágil. Las cremas heladas deliciosas y se nota la calidad. El precio, realmente lo vale, son en gral son más elevados.",Emilio Lamarca 3683
Juan Ignacio Cordoba Gonzalez,5 estrellas,Hace un año,Excelente atención. Los mejores helados de Córdoba.,Emilio Lamarca 3683
Giuliana Frola Lago,5 estrellas,Hace 8 meses,Los helados mas ricos sin dudas😍 el kricoreo es el mejor sin dudas…,Emilio Lamarca 3683
Francisco López (Paisajes_Argentinos_Ok),1 estrella,Hace 3 años,"Desastre la atención, te despachan literal. Pedimos 4 cuartos, todos con 2 sabores supuestamente...... Te ponen 3/4 del primer sabor y un poquito del segundo. Nunca más",Emilio Lamarca 3683
Luciana Giavelli,2 estrellas,Hace 5 años,"Bariloche exquisito como siempre. Pero el empleado atendió a todos con malos modos, molesto x tener q atendernos, trato mal a su compañero. La verdad una lastima. Es entendible el cansancio pero los modales y el hacer bien el trabajo es otra cosa.",Emilio Lamarca 3683
Mara Sánchez,5 estrellas,Hace un año,"Riquísimooo Amo esos helados,  siempre te atienden excelente!!!",Emilio Lamarca 3683
Roberto Santillan,5 estrellas,Hace 2 años,"Muy buena la atencion , han renovado todo el local  con nueva decoracion , los helados como siempre exquisitos!!",Emilio Lamarca 3683
Fatima Ruiz,5 estrellas,Hace 3 años,"Muy buena, impecable desde que entras, excelente atención  muy ricos los helados, un placer se tarde a tomar una helado....",Emilio Lamarca 3683
Leandro Iramain (Lean),3 estrellas,Hace 6 años,"Muy caro y el helado me pareció sumamente grasoso y con poco sabor (maracuya y frutos rojos). El lugar es hermoso, para sentarse fuera o dentro y los baños super limpios.",Emilio Lamarca 3683
